objectID,bikeRouteName,Geom
227160,Arbutus Greenway,"{""coordinates"": [[-123.15242664548876, 49.26239373736351], [-123.15243026577907, 49.26229379580021], [-123.15244543362161, 49.261933615646704]], ""type"": ""LineString""}"
227179,Central Valley,"{""coordinates"": [[-123.06143468233574, 49.26040160783959], [-123.06013584805092, 49.25988045025092]], ""type"": ""LineString""}"
227221,Cambie,"{""coordinates"": [[-123.11674974610459, 49.21229826555669], [-123.11674982508511, 49.21229623793924], [-123.11675120565535, 49.21226212101926], [-123.11675196606089, 49.21224335428334], [-123.11681263858885, 49.210557781936565], [-123.11681264123523, 49.21055773965604], [-123.11710825680899, 49.210208227883555]], ""type"": ""LineString""}"
227278,Richards,"{""coordinates"": [[-123.12423609224066, 49.275879954246165], [-123.12583103590019, 49.27482497815186]], ""type"": ""LineString""}"
227282,Arbutus Greenway,"{""coordinates"": [[-123.14565489468302, 49.26648474294949], [-123.14660633750977, 49.26649716106213]], ""type"": ""LineString""}"
227311,Cardero,"{""coordinates"": [[-123.13653971357951, 49.286626374512736], [-123.13707124842645, 49.28627421571497]], ""type"": ""LineString""}"
227367,Ontario,"{""coordinates"": [[-123.10599045554137, 49.2248045238522], [-123.10600632429096, 49.2243310155242], [-123.10600633518362, 49.22433097143736]], ""type"": ""LineString""}"
227368,Beatty,"{""coordinates"": [[-123.11055085381177, 49.27985058753457], [-123.11227364331891, 49.278709839599905]], ""type"": ""LineString""}"
227417,Dunsmuir,"{""coordinates"": [[-123.10872186369762, 49.27866141573472], [-123.10872479834963, 49.27866296554194], [-123.10878618931056, 49.27869537767118], [-123.1100012733073, 49.279490777669444]], ""type"": ""LineString""}"
227423,Seaside,"{""coordinates"": [[-123.1560617659254, 49.308388233642965], [-123.15608158184706, 49.30850893513346], [-123.15604732483497, 49.30858110711213], [-123.15591644464466, 49.30862634040753], [-123.15570948975864, 49.308613039470124], [-123.15536567727334, 49.30851169791276], [-123.15518543029644, 49.308513919019525], [-123.15501531242607, 49.30856298103495], [-123.155015063869, 49.30856312349155], [-123.15484047989624, 49.30866304435334], [-123.1548404236021, 49.308663079509806], [-123.15462153890323, 49.30881163133059], [-123.15442289234178, 49.30898564971101], [-123.15442277444043, 49.30898578119758], [-123.15424620269346, 49.30918355831012], [-123.15417707200766, 49.30931441376387], [-123.15406471992452, 49.30940881374012], [-123.15366939417795, 49.30963273339106], [-123.15361780209716, 49.309665802437365], [-123.15351417425047, 49.309732226195415], [-123.15331439822188, 49.309803627627446], [-123.15305175789791, 49.30987628674789], [-123.15303511596245, 49.30988089090838], [-123.15300301529149, 49.30989322976213], [-123.15287009160771, 49.30994432443053], [-123.15270901742598, 49.31000623951482], [-123.15251473579623, 49.31016783552046], [-123.15242663237245, 49.310328392589156], [-123.15240842125365, 49.31049290434739], [-123.1524511846874, 49.31089565817487], [-123.15239517849757, 49.31124008556571], [-123.15211092065906, 49.31136043084701], [-123.15173615141124, 49.31167362042573], [-123.15136486498957, 49.311903256516686], [-123.15094409083828, 49.31208906879857], [-123.15060785013485, 49.312206150944675], [-123.15026045682858, 49.312387008603636], [-123.15006413131869, 49.31250740806937], [-123.15004825088715, 49.31251714702872], [-123.1498498217269, 49.312589351144425], [-123.14983832458753, 49.31259137286495], [-123.14962724101052, 49.312628490401856], [-123.14935528855436, 49.3126230870874], [-123.14911359075913, 49.31264327392968], [-123.14849402775506, 49.31278715540484], [-123.14801341169006, 49.312847307110175], [-123.14725479837696, 49.313044330460826], [-123.14696391985241, 49.31308445109872], [-123.14664008152413, 49.31310473718845], [-123.1463617240195, 49.31312082882077], [-123.14588370037632, 49.313215683287815], [-123.1457500050644, 49.31329056012717], [-123.14572082895646, 49.313306900591826], [-123.14564896626804, 49.31336724595832], [-123.14550216577018, 49.313407271201164], [-123.14533897566615, 49.313428970402136], [-123.14517882367403, 49.31343581819455], [-123.14517211037827, 49.313436105476505], [-123.14501006956851, 49.31346319894769], [-123.14470020009551, 49.313539980271536], [-123.14433155997688, 49.3136313235287], [-123.14407291945459, 49.31367922058319], [-123.14405640248656, 49.313679279851286], [-123.1438041572172, 49.313680184971496], [-123.1435265585641, 49.31368565637418], [-123.14326486729662, 49.31373850182981], [-123.14282328401363, 49.31388150694211], [-123.14262489296573, 49.313934816008555], [-123.1424130013495, 49.31395656936724], [-123.14205316451796, 49.313959251102034], [-123.1419978481423, 49.31396793371497], [-123.1415679385176, 49.31403543705632], [-123.14151064909707, 49.31404175883239], [-123.14150634314622, 49.314041935911646], [-123.14144746303883, 49.31404435391905], [-123.14138288047307, 49.314034451048514], [-123.14132331395376, 49.31399315440547], [-123.14129352158929, 49.31394718254659], [-123.14128639342769, 49.31393618212258], [-123.14120327679963, 49.313634108526664], [-123.14119756613013, 49.31362080541058], [-123.14119344611107, 49.31360804005871], [-123.1411889843697, 49.313595095221515], [-123.14118406962926, 49.31358251074269], [-123.14117892950946, 49.313570016490246], [-123.14117356099914, 49.31355752161703], [-123.14116785291701, 49.313545118009124], [-123.14116180551784, 49.313532894717945], [-123.14115564469755, 49.31352094141884], [-123.14114902984865, 49.3135089877744], [-123.1411423029572, 49.31349730501978], [-123.14113523597828, 49.31348553272878], [-123.14112782881858, 49.313474119758396], [-123.14112030910263, 49.31346279777574], [-123.14111244920606, 49.31345183511361], [-123.14110424948215, 49.313440873765366], [-123.14109593771093, 49.31343018150771], [-123.14108717105562, 49.31341967060684], [-123.14107852022917, 49.31340924861567], [-123.1410691875022, 49.3133990073588], [-123.14106008307992, 49.31338921647849], [-123.1410504118118, 49.31337942538975], [-123.14104062849894, 49.31336990429083], [-123.14103061894642, 49.313360653321034], [-123.1410202687026, 49.31335158266866], [-123.14100991897611, 49.31334269191733], [-123.14099923070438, 49.31333425133458], [-123.14098842961741, 49.31332581088847], [-123.14098122989938, 49.31332053593199], [-123.14097740117144, 49.313317730523835], [-123.14096637487498, 49.31330992000946], [-123.14095478061422, 49.31330219923851], [-123.14094330183758, 49.313294928981556], [-123.1409315951882, 49.31328783890394], [-123.14091966392837, 49.31328110800467], [-123.1409076201121, 49.31327446809223], [-123.14089534893348, 49.3132681873614], [-123.14088308015995, 49.31326226643151], [-123.1408705835157, 49.31325652658018], [-123.14085808927359, 49.313251145630275], [-123.14084944637408, 49.313248302009114], [-123.1407711163545, 49.31322253014946], [-123.14069249620464, 49.31319679007278], [-123.14068071076476, 49.31319293201581]], ""type"": ""LineString""}"
